"code_postal","commune"
"SUISSE","GENEVE"
85190,"LA ROCHE SUR YON"
85270,"SAINT HILAIRE DE RIEZ"
44470,"THOUARE SUR LOIRE"
44600,"SAINT NAZAIRE"
44800,"SAINT HERBLAIN"
33400,"TALENCE"
44093,"NANTES"
94250,"GENTILLY"
75013,"PARIS"
44000,"NANTES"
"Sans réponse","Sans réponse"
"TUNISIE","TUNIS"
44000,"NANTES"
44470,"THOUARE SUR LOIRE"
92100,"PARIS"
44240,"LA CHAPELLE SUR ERDRE"
"CANADA","MONTREAL"
75013,"PARIS"
"Sans réponse","Sans réponse"
91400,"ORSAY"
44000,"NANTES"
44000,"NANTES"
75018,"PARIS"
44000,"NANTES"
92400,"COURBEVOIE"
44300,"NANTES"
75005,"PARIS"
68100,"MULHOUSE"
28380,"SAINT REMY SUR AVRE"
29260,"LE FOLGOET"
44700,"ORVAULT"
91140,"VILLEBON SUR YVETTE"
"SUISSE","BASSEL"
44817,"SAINT HERBLAIN"
92284,"SURESNES"
44100,"NANTES"
56000,"VANNES"
44500,"LA BAULE"
44340,"BOUGUENAIS"
44200,"NANTES"
69008,"LYON"
"DANEMARK","Sans réponse"
44000,"NANTES"
"PANAMA","PANAMA"
35120,"VAIRE"
44200,"NANTES"
56100,"LORIENT"
85000,"LA ROCHE SUR YON"
92130,"ISSY LES MOULINEAUX"
69000,"LYON"
35480,"GUIPRY MESSAC"
38000,"GRENOBLE"
56890,"SAINT AVE"
94250,"GENTILLY"
44410,"HERBIGNAC"
49100,"ANGERS"
44000,"NANTES"
92400,"COURBEVOIE"
44521,"COUFFE"
"Sans réponse","Sans réponse"
56450,"SURZUR"
75013,"PARIS"
76960,"NOTRE DATE DE BONDEVILLE"
"Sans réponse","Sans réponse"
44000,"NANTES"
28000,"CHARTRES"
44000,"NANTES"
35370,"TORCE"
44380,"PORNICHET"
44522,"ANCENIS"
41500,"MER"
44000,"NANTES"
44700,"ORVAULT"
92100,"BOULOGNE BILLANCOURT"
44600,"SAINT NAZAIRE"
44000,"NANTES"
44600,"SAINT NAZAIRE"
44100,"NANTES"
33140,"VILLENAVE D'ORMON"
"Sans réponse","Sans réponse"
92100,"BOULOGNE BILLANCOURT"
44450,"DIVATTE SUR LOIRE"
44817,"SAINT HERBLAIN"
44000,"NANTES"
44880,"SAUTRON"
85150,"LES ACHARDS"
44470,"CARQUEFOU"
75017,"PARIS"
33500,"BORDEAUX"
85180,"VENANSAULT"
44680,"CHAUMES EN RETZ"
92563,"RUEIL MALMAISON"
37000,"TOURS"
85460,"L'AIGUILLON SUR MER"
44470,"THOUARE SUR LOIRE"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
85500,"LES HERBIERS"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
94200,"IVRY SUR SEINE"
92110,"CLICHY"
97460,"SAINT PAUL"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
85660,"SAINT PHILBERT DE BOUAINE"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
44100,"NANTES"
"Sans réponse","Sans réponse"
92000,"ISSY LES MOULINEAUX"
"Sans réponse","Sans réponse"
"SUEDE","STOCKHOLM"
29250,"SANTEC"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
45500,"GIEN"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
"Sans réponse","Sans réponse"
44000,"NANTES"
27400,"HEUDEBOUVILLE"
44500,"LA BAULE"
27320,"NONANCOURT"
94250,"GENTILLY"
44000,"NANTES"
44110,"CHATEAUBRIANT"
44000,"NANTES"
44000,"NANTES"
44300,"NANTES"
44300,"NANTES"
"Sans réponse","Sans réponse"
92130,"PARIS"
44000,"NANTES"
"Sans réponse","Sans réponse"
75017,"PARIS"
75000,"PARIS"
97300,"CAYENNE"
44350,"GUERANDE"
44350,"GUERANDE"
44000,"NANTES"
35133,"SAINT MARC LE BLANC"
44240,"SUCE SUR ERDRE"
"Sans réponse","Sans réponse"
44000,"NANTES"
"Sans réponse","Sans réponse"
85150,"SAINT MATHURIN"
28000,"CHARTRES"
44150,"ANCENIS"
"Sans réponse","Sans réponse"
49000,"ANGERS"
34184,"MONTPELLIER"
85160,"SAINT JEAN DE MONTS"
59000,"LILLE"
44500,"LA BAULE"
44300,"NANTES"
44000,"NANTES"
"Sans réponse","Sans réponse"
85340,"LES SABLES D'OLONNE"
44200,"NANTES"
44700,"ORVAULT"
92800,"PUTEAUX"
44740,"BATZ SUR MER"
44000,"NANTES"
44620,"LA MONTAGNE"
28000,"CHARTRES"
44540,"MESANGER"
92100,"BOULOGNE BILLANCOURT"
44000,"NANTES"
35240,"LE THEIL DE BRETAGNE"
75014,"PARIS"
49000,"ANGERS"
44200,"NANTES"
85340,"LES SABLES D'OLONNE"
44300,"NANTES"
85170,"BOIS DE CENE"
44500,"LA BAULE"
44000,"SAINT PHILBERT DE GRAND LIEU"
"SUISSE","NEUCHATEL"
44000,"NANTES"
44043,"CLISSON"
75000,"PARIS"
50200,"COUTANCES"
44800,"SAINT HERBLAIN"
44000,"NANTES"
"Sans réponse","Sans réponse"
92400,"COURBEVOIE"
92500,"RUEIL MALMAISON"
37200,"TOURS"
85000,"LA ROCHE SUR YON"
44000,"NANTES"
44530,"GUENROUET"
44000,"NANTES"
92800,"PUTEAUX"
44300,"NANTES"
"ROYAUME UNI","LONDRES"
44300,"NANTES"
44000,"NANTES"
44000,"NANTES"
93200,"SAINT DENIS"
75017,"PARIS"
75000,"PARIS"
44140,"MONTBERT"
44640,"SAINT JEAN DE BOISEAU"
44450,"SAINT MARS DU DESERT"
85000,"LA ROCHE SUR YON"
"CANADA","MONTREAL"
44300,"NANTES"
44000,"NANTES"
44300,"NANTES"
44000,"NANTES"
44000,"NANTES"
77230,"MOUSSY LE NEUF"
44000,"NANTES"
85140,"L'OIE"
44115,"HAUTE GOULAINE"
"Sans réponse","Sans réponse"
85000,"SAINT HILAIRE DE RIEZ"
44100,"NANTES"
94250,"GENTILLY"
85000,"LA ROCHE SUR YON"
44000,"NANTES"
44000,"NANTES"
